Title,H index,Impact Factor
"2014 Loughborough Antennas and Propagation Conference, LAPC 2014",6,0.76116
"Proceedings - 2016 IEEE 2nd International Conference on Big Data Computing Service and Applications, BigDataService 2016",4,0.69098
"2014 4th International Electric Drives Production Conference, EDPC 2014 - Proceedings",6,0.76116
54th AIAA Aerospace Sciences Meeting,7,0.79624
"IEEE CPMT Symposium Japan 2015: Packaging is Everywhere, ICSJ 2015",4,0.69098
33rd AIAA Applied Aerodynamics Conference,5,0.72607
EuMIC 2016 - 11th European Microwave Integrated Circuits Conference,3,0.6559
"Annual Report - Conference on Electrical Insulation and Dielectric Phenomena, CEIDP",29,1.56814
"IEEE International Symposium on Broadband Multimedia Systems and Broadcasting, BMSB",12,0.97167
European Signal Processing Conference,35,1.77865
Proceedings of IEEE International Workshop on Variable Structure Systems,7,0.79624
SIGCSE 2016 - Proceedings of the 47th ACM Technical Symposium on Computing Science Education,6,0.76116
"2014 67th Annual Conference for Protective Relay Engineers, CPRE 2014",5,0.72607
"2015 International 3D Systems Integration Conference, 3DIC 2015",4,0.69098
Proceedings of the Asian Test Symposium,29,1.56814
Proceedings of the IEEE Power Engineering Society Transmission and Distribution Conference,58,2.58564
45th AIAA Plasmadynamics and Lasers Conference,5,0.72607
50th AIAA/ASME/SAE/ASEE Joint Propulsion Conference 2014,9,0.86641
ASEE 2016 International Forum,1,0.58572
"FHPC 2015 - Proceedings of the 4th ACM SIGPLAN Workshop on Functional High-Performance Computing, co-located with ICFP 2015",1,0.58572
MODELSWARD 2016 - Proceedings of the 4th International Conference on Model-Driven Engineering and Software Development,4,0.69098
Conference Record of the IEEE Photovoltaic Specialists Conference,47,2.19969
EUROSOI-ULIS 2015 - 2015 Joint International EUROSOI Workshop and International Conference on Ultimate Integration on Silicon,4,0.69098
"2015 IEEE International Conference on Ubiquitous Wireless Broadband, ICUWB 2015",5,0.72607
ICAART 2016 - Proceedings of the 8th International Conference on Agents and Artificial Intelligence,4,0.69098
"2015 Global Information Infrastructure and Networking Symposium, GIIS 2015",2,0.62081
"8th European Conference on Antennas and Propagation, EuCAP 2014",12,0.97167
"Proceedings - 2016 Workshop on Automotive Systems/Software Architectures, WASA 2016",1,0.58572
"IEEE/ASME International Conference on Advanced Intelligent Mechatronics, AIM",4,0.69098
"2016 IEEE Winter Applications of Computer Vision Workshops, WACVW 2016",2,0.62081
"Proceedings - 9th IEEE International Symposium on Service-Oriented System Engineering, IEEE SOSE 2015",6,0.76116
"2016 IEEE Antennas and Propagation Society International Symposium, APSURSI 2016 - Proceedings",4,0.69098
"2014 17th International Conference on Electrical Machines and Systems, ICEMS 2014",9,0.86641
RTCSA 2014 - 20th IEEE International Conference on Embedded and Real-Time Computing Systems and Applications,8,0.83133
International System on Chip Conference,10,0.9015
"4th International Workshop on Earth Observation and Remote Sensing Applications, EORSA 2016 - Proceedings",2,0.62081
"4th International Symposium on Environment Friendly Energies and Applications, EFEA 2016",2,0.62081
"2015 Australian Control Conference, AUCC 2015",3,0.6559
IEEE Green Technologies Conference,10,0.9015
"2014 IEEE International Electric Vehicle Conference, IEVC 2014",6,0.76116
"2014 14th International Conference on Environment and Electrical Engineering, EEEIC 2014 - Conference Proceedings",6,0.76116
Proceedings of the International Spring Seminar on Electronics Technology,12,0.97167
"Proceedings - 2015 IEEE International Conference on Mechatronics, ICM 2015",6,0.76116
"2014 1st International Workshop on Cognitive Cellular Systems, CCS 2014",5,0.72607
International Conference on Applied Electronics,8,0.83133
"European Microwave Week 2014: Connecting the Future, EuMW 2014 - Conference Proceedings; EuMIC 2014: 9th European Microwave Integrated Circuits Conference",5,0.72607
IEEE International Conference on Electro Information Technology,12,0.97167
Vibroengineering Procedia,4,0.69098
"I4CT 2014 - 1st International Conference on Computer, Communications, and Control Technology, Proceedings",6,0.76116
"Proceedings - IEEE 16th International Conference on Advanced Learning Technologies, ICALT 2016",4,0.69098
IEEE Workshop on Statistical Signal Processing Proceedings,25,1.42779
"2015 Clemson University Power Systems Conference, PSC 2015",6,0.76116
"WearSys 2016 - Proceedings of the 2016 Workshop on Wearable Systems and Applications, co-located with MobiSys 2016",2,0.62081
Middleware 2015 Industry Track Papers - Proceedings of the Industry Track of the 16th ACM/IFIP/USENIX Middleware Conference,2,0.62081
"Proceedings of the International Symposium on Artificial Intelligence and Signal Processing, AISP 2015",4,0.69098
"2014 IEEE International Conference on RFID, IEEE RFID 2014",5,0.72607
"Proceedings of the 2015 IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications, IEEE APWC 2015",4,0.69098
"Proceedings - 15th IEEE International Conference on Data Mining Workshop, ICDMW 2015",5,0.72607
Gums and Stabilisers for the Food Industry 18 - Hydrocolloid Functionality for Affordable and Sustainable Global Food Solutions,2,0.62081
"International Conference on Advanced Communication Technology, ICACT",24,1.39271
"2015 IEEE Conference on Energy Conversion, CENCON 2015",4,0.69098
"SeGAH 2014 - IEEE 3rd International Conference on Serious Games and Applications for Health, Books of Proceedings",3,0.6559
"Proceedings of the 2014 IEEE 18th International Conference on Dielectric Liquids, ICDL 2014",6,0.76116
"Proceedings of ExaMPI 2014: Exascale MPI 2014 - held in conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",2,0.62081
MobileHCI 2014 - Proceedings of the 16th ACM International Conference on Human-Computer Interaction with Mobile Devices and Services,12,0.97167
"IEEE Proceedings of the 2016 Joint Workshop on Cyber-Physical Security and Resilience in Smart Grids, CPSR-SG 2016 - This Workshop is Part of the CPS Week 2016",2,0.62081
Conference Proceedings - IEEE SOUTHEASTCON,23,1.35762
"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP",20,1.25236
"Proceedings - 2014 International Workshop on Secure Internet of Things, SIoT 2014",1,0.58572
"Conference Proceedings - 13th IEEE International NEW Circuits and Systems Conference, NEWCAS 2015",5,0.72607
3DTV-Conference,7,0.79624
"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",47,2.19969
Proceedings of the IEEE International Conference on VLSI Design,39,1.919
"2014 Asia-Pacific Microwave Conference Proceedings, APMC 2014",6,0.76116
TM 2015 - Proceedings of the 2015 Workshop on Topic Models: Post-Processing and Applications,2,0.62081
"2014 International Conference on the Network of the Future, NOF 2014 - Workshop on Smart Cloud Networks and Systems, SCNS 2014",2,0.62081
"2016 IEEE International Conference on Intelligent Rail Transportation, ICIRT 2016",3,0.6559
"23rd European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning, ESANN 2015 - Proceedings",5,0.72607
ISMA 2015 - 10th International Symposium on Mechatronics and its Applications,4,0.69098
"2014 19th Conference on Electrical Power Distribution Networks, EPDC 2014",3,0.6559
Proceedings - International Carnahan Conference on Security Technology,18,1.18219
"ICAMIMIA 2015 - International Conference on Advanced Mechatronics, Intelligent Manufacture, and Industrial Automation, Proceeding - In conjunction with Industrial Mechatronics and Automation Exhibition, IMAE",2,0.62081
"2015 IEEE 7th International Conference on Biometrics Theory, Applications and Systems, BTAS 2015",1,0.58572
"7th European Workshop on Structural Health Monitoring, EWSHM 2014 - 2nd European Conference of the Prognostics and Health Management (PHM) Society",7,0.79624
Proceedings - CBI 2016: 18th IEEE Conference on Business Informatics,2,0.62081
"2015 IEEE 10th International Conference on Intelligent Sensors, Sensor Networks and Information Processing, ISSNIP 2015",8,0.83133
"2016 International Conference on Electronics Packaging, ICEP 2016",3,0.6559
"2014 IEEE International Conference on Robotics and Biomimetics, IEEE ROBIO 2014",5,0.72607
"2016 Asia-Pacific International Symposium on Electromagnetic Compatibility, APEMC 2016",3,0.6559
Proceedings of IEEE Sensors,34,1.74357
"2015 IEEE/CIC International Conference on Communications in China, ICCC 2015",4,0.69098
"Proceedings - 12th IAPR International Workshop on Document Analysis Systems, DAS 2016",4,0.69098
"2015 International Conference on Advances in Computing, Communications and Informatics, ICACCI 2015",7,0.79624
IEEE International Integrated Reliability Workshop Final Report,14,1.04184
"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA",13,1.00676
"83rd ARFTG Microwave Measurement Conference: Microwave Measurements for Emerging Technologies, ARFTG 2014",4,0.69098
"Proceedings - 11th International Conference on Signal-Image Technology and Internet-Based Systems, SITIS 2015",6,0.76116
"6th International Workshop on Principles of Engineering Service-Oriented and Cloud Systems, PESOS 2014 - Proceedings",3,0.6559
"Proceedings of the 4th International Workshop on Runtime and Operating Systems for Supercomputers, ROSS 2014 - In Conjunction with ICS 2014",4,0.69098
"International Workshop on Integrated Nonlinear Microwave and Millimetre-wave Circuits, INMMiC 2015",3,0.6559
"Proceedings of the 2015 High Power Diode Lasers and Systems Conference, HPD 2015 - Co-located with Photonex 2015",2,0.62081
"Proceedings - 2014 10th International Conference on Mobile Ad-Hoc and Sensor Networks, MSN 2014",4,0.69098
"2016 18th European Conference on Power Electronics and Applications, EPE 2016 ECCE Europe",5,0.72607
"INTELEC, International Telecommunications Energy Conference (Proceedings)",35,1.77865
"2016 8th International Conference on Communication Systems and Networks, COMSNETS 2016",4,0.69098
Midwest Symposium on Circuits and Systems,31,1.63831
"2015 21st National Conference on Communications, NCC 2015",5,0.72607
"Proceedings of 2016 8th International Workshop on Resilient Networks Design and Modeling, RNDM 2016",3,0.6559
"Proceedings - 11th Web Information System and Application Conference, WISA 2014",2,0.62081
"2014 International Workshop on Antenna Technology: Small Antennas, Novel EM Structures and Materials, and Applications, iWAT 2014",5,0.72607
PCIM Europe Conference Proceedings,11,0.93659
"2014 IEEE Conference on Electrical Insulation and Dielectric Phenomena, CEIDP 2014",6,0.76116
"2014 International Conference on Informatics, Electronics and Vision, ICIEV 2014",8,0.83133
"Proceedings - 2015 IEEE 21st Pacific Rim International Symposium on Dependable Computing, PRDC 2015",3,0.6559
"10th France-Japan Congress, 8th Europe-Asia Congress on Mecatronics, MECATRONICS 2014",3,0.6559
"2014, 8th International Conference on Signal Processing and Communication Systems, ICSPCS 2014 - Proceedings",5,0.72607
"Proceedings - 2015 IEEE International Conference on Computational Intelligence and Communication Technology, CICT 2015",7,0.79624
Proceedings of the AES International Conference,15,1.07693
"2015 IEEE 14th Canadian Workshop on Information Theory, CWIT 2015",3,0.6559
"2015 IEEE International Conference on Identity, Security and Behavior Analysis, ISBA 2015",5,0.72607
Proceedings of the IEEE Conference on Nanotechnology,19,1.21728
"International Conference on Control, Automation and Systems",13,1.00676
ACM International Conference Proceeding Series,5,0.72607
"Proceedings - 2015 11th European Dependable Computing Conference, EDCC 2015",3,0.6559
"2014 IEEE 12th International New Circuits and Systems Conference, NEWCAS 2014",6,0.76116
"2014 International Topical Meeting on Microwave Photonics / the 9th Asia-Pacific Microwave Photonics Conference, MWP/APMP 2014 - Proceedings",7,0.79624
"2015 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2015",3,0.6559
"2014 IEEE Conference on Antenna Measurements and Applications, CAMA 2014",5,0.72607
"2014 International Conference on Optimization of Electrical and Electronic Equipment, OPTIM 2014",8,0.83133
"2009 European Control Conference, ECC 2009",1,0.58572
"2014 19th European Conference on Networks and Optical Communications, NOC 2014",4,0.69098
International Conference on Transparent Optical Networks,19,1.21728
"IEEE International Workshop on Factory Communication Systems - Proceedings, WFCS",24,1.39271
"2016 International Wireless Communications and Mobile Computing Conference, IWCMC 2016",5,0.72607
"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",31,1.63831
"2014 IEEE Vehicle Power and Propulsion Conference, VPPC 2014",1,0.58572
"28th Symposium on the Application of Geophysics to Engineering and Environmental Problems 2015, SAGEEP 2015",4,0.69098
Society of Petroleum Engineers - SPE International Oilfield Scale Conference and Exhibition,2,0.62081
"THERMINIC 2014 - 20th International Workshop on Thermal Investigations of ICs and Systems, Proceedings",6,0.76116
"11th Petroleum and Chemical Industry Conference Europe Electrical and Instrumentation Applications, PCIC 2014",3,0.6559
"2014 International Conference on Prognostics and Health Management, PHM 2014",6,0.76116
"WPES 2016 - Proceedings of the 2016 ACM Workshop on Privacy in the Electronic Society, co-located with CCS 2016",2,0.62081
IEEE Radiation Effects Data Workshop,23,1.35762
PHM 2014 - Proceedings of the Annual Conference of the Prognostics and Health Management Society 2014,7,0.79624
"Proceedings - 2015 IEEE 17th International Conference on High Performance Computing and Communications, 2015 IEEE 7th International Symposium on Cyberspace Safety and Security and 2015 IEEE 12th International Conference on Embedded Software and Systems, HPCC-CSS-ICESS 2015",9,0.86641
"Proceedings of 2015 International Conference on Cloud Computing Technologies and Applications, CloudTech 2015",4,0.69098
ICETE 2016 - Proceedings of the 13th International Joint Conference on e-Business and Telecommunications,2,0.62081
"Proceedings - 2015 IEEE International Conference on Knowledge and Systems Engineering, KSE 2015",4,0.69098
ICOS 2014 - 2014 IEEE Conference on Open Systems,2,0.62081
RFIT 2016 - 2016 IEEE International Symposium on Radio-Frequency Integration Technology,3,0.6559
"Proceedings - 8th International Workshop on Search-Based Software Testing, SBST 2015",4,0.69098
"2015 International Conference on BioSignal Analysis, Processing and Systems, ICBAPS 2015",3,0.6559
Wireless Telecommunications Symposium,10,0.9015
50th US Rock Mechanics / Geomechanics Symposium 2016,4,0.69098
"Proceedings of the 18th International Conference on Human-Computer Interaction with Mobile Devices and Services, MobileHCI 2016",5,0.72607
2015 Information Security for South Africa - Proceedings of the ISSA 2015 Conference,3,0.6559
"2016 Joint Rail Conference, JRC 2016",2,0.62081
2nd EAGE Workshop on Geomechanics and Energy: The Ground as Energy Source and Storage,1,0.58572
"2013 World Electric Vehicle Symposium and Exhibition, EVS 2014",9,0.86641
"Proceedings of the 4th ACM SIGSPATIAL International Workshop on Mobile Geographic Information Systems, MobiGIS 2015",2,0.62081
"Conference Proceeding - 2014 IEEE International Conference on Power and Energy, PECon 2014",6,0.76116
"2014 5th European Workshop on CMOS Variability, VARI 2014",4,0.69098
"International Conference on Advanced Mechatronic Systems, ICAMechS",6,0.76116
"Asia-Pacific Microwave Conference Proceedings, APMC",2,0.62081
GPCE 2015 - Proceedings of the 2015 ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences,4,0.69098
"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",3,0.6559
"Proceedings of the 3rd IEEE International Conference on Logistics Operations Management, GOL 2016",4,0.69098
GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems,3,0.6559
"EESMS 2016 - 2016 IEEE Workshop on Environmental, Energy, and Structural Monitoring Systems, Proceedings",4,0.69098
"Proceedings - 2016 16th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2016",5,0.72607
"Proceedings of the 2015 Science and Information Conference, SAI 2015",5,0.72607
"2014 1st International Conference on Information Technology, Computer, and Electrical Engineering: Green Technology and Its Applications for a Better Future, ICITACEE 2014 - Proceedings",5,0.72607
"Conference on Millimeter-Wave and Terahertz Technologies, MMWaTT",3,0.6559
"Proceedings of IEEE Workshop on Advanced Robotics and its Social Impacts, ARSO",11,0.93659
"2014 International Conference on Computer and Information Sciences, ICCOINS 2014 - A Conference of World Engineering, Science and Technology Congress, ESTCON 2014 - Proceedings",6,0.76116
"Proceedings of Co-HPC 2015: 2nd International Workshop on Hardware-Software Co-Design for High Performance Computing - Held in conjunction with SC 2015: The International Conference for High Performance Computing, Networking, Storage and Analysis",2,0.62081
"Proceedings of the 16th Electronics Packaging Technology Conference, EPTC 2014",6,0.76116
"2014 IEEE-APS Topical Conference on Antennas and Propagation in Wireless Communications, APWC 2014",4,0.69098
"IST 2014 - 2014 IEEE International Conference on Imaging Systems and Techniques, Proceedings",6,0.76116
Conference Proceedings - International Conference on Indium Phosphide and Related Materials,23,1.35762
"Proceedings - 2014 IEEE 22nd International Symposium on Field-Programmable Custom Computing Machines, FCCM 2014",8,0.83133
"Proceedings of the 2014 IEEE 15th International Conference on Information Reuse and Integration, IEEE IRI 2014",3,0.6559
"2015 International Conference on Military Communications and Information Systems, ICMCIS 2015",4,0.69098
ACHI 2014 - 7th International Conference on Advances in Computer-Human Interactions,6,0.76116
"The Dynamics of Vehicles on Roads and Tracks - Proceedings of the 24th Symposium of the International Association for Vehicle System Dynamics, IAVSD 2015",3,0.6559
"Proceedings - 16th IEEE International Conference on High Performance Computing and Communications, HPCC 2014, 11th IEEE International Conference on Embedded Software and Systems, ICESS 2014 and 6th International Symposium on Cyberspace Safety and Security, CSS 2014",5,0.72607
"Proceedings - 2016 IEEE 2nd International Conference on Multimedia Big Data, BigMM 2016",4,0.69098
"Proceedings of the International Colloquium on Stability and Ductility of Steel Structures, SDSS 2016",3,0.6559
"Clemson University Power Systems Conference, PSC 2016",3,0.6559
"2014 8th IAPR Workshop on Pattern Recognition in Remote Sensing, PRRS 2014",3,0.6559
"M4IOT 2015 - Proceedings of the 2nd ACM Workshop on Middleware for Context-Aware Applications in the IoT, in conjunction with ACM/IFIP/USENIX ACM International Middleware Conference",3,0.6559
"2015 International Conference on Advances in Biomedical Engineering, ICABME 2015",1,0.58572
"2014 IEEE 19th International Functional Electrical Stimulation Society Annual Conference, IFESS 2014 - Conference Proceedings",3,0.6559
"Conference on Design and Architectures for Signal and Image Processing, DASIP",9,0.86641
"ISAP 2014 - 2014 International Symposium on Antennas and Propagation, Conference Proceedings",5,0.72607
"2015 International Conference on Connected Vehicles and Expo, ICCVE 2015 - Proceedings",3,0.6559
"PLAS 2016 - Proceedings of the 2016 ACM Workshop on Programming Languages and Analysis for Security, co-located with CCS 2016",1,0.58572
23rd AIAA/AHS Adaptive Structures Conference,5,0.72607
Canadian Conference on Electrical and Computer Engineering,39,1.919
"2014 International Conference on Telecommunications and Multimedia, TEMU 2014",5,0.72607
"6th International Conference on Information Science and Technology, ICIST 2016",3,0.6559
"Proceedings - IEEE 30th International Conference on Advanced Information Networking and Applications Workshops, WAINA 2016",4,0.69098
"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",9,0.86641
DH 2016 - Proceedings of the 2016 Digital Health Conference,4,0.69098
"2015 IEEE Conference on Prognostics and Health Management: Enhancing Safety, Efficiency, Availability, and Effectiveness of Systems Through PHAf Technology and Application, PHM 2015",4,0.69098
"Proceedings - IEEE 14th International Conference on Bioinformatics and Bioengineering, BIBE 2014",3,0.6559
"20th European Microelectronics and Packaging Conference and Exhibition: Enabling Technologies for a Better Life and Future, EMPC 2015",4,0.69098
"Proceedings - International Conference on Embedded Computer Systems: Architectures, Modeling and Simulation, SAMOS 2014",6,0.76116
"2014 IEEE Electrical Design of Advanced Packaging and Systems Symposium, EDAPS 2014",2,0.62081
ICDC 2015 - Proceedings of the 3rd International Conference on Design Creativity,2,0.62081
"2015 International Seminar on Intelligent Technology and Its Applications, ISITIA 2015 - Proceeding",4,0.69098
"2016 International Conference on High Performance Computing and Simulation, HPCS 2016",4,0.69098
"A-TEST 2016 - Proceedings of the 7th International Workshop on Automating Test Case Design, Selection, and Evaluation, co-located with FSE 2016",2,0.62081
"15th AIAA Aviation Technology, Integration, and Operations Conference",6,0.76116
"WISP 2015 - IEEE International Symposium on Intelligent Signal Processing, Proceedings",4,0.69098
Proceedings - CQR 2016: 2016 IEEE International Workshop Technical Committee on Communications Quality and Reliability,2,0.62081
"2014 International Symposium on Computers in Education, SIIE 2014",2,0.62081
"IEEE/IFIP International Conference on VLSI and System-on-Chip, VLSI-SoC",7,0.79624
"ROSE 2014 - 2014 IEEE International Symposium on RObotic and SEnsors Environments, Proceedings",4,0.69098
"SeGAH 2014 - IEEE 3rd International Conference on Serious Games and Applications for Health, Books of Proceedings",4,0.69098
Proceedings - APMediaCast: 2015 Asia Pacific Conference on Multimedia and Broadcasting,2,0.62081
"International Conference on Energy Economics and Environment - 1st IEEE Uttar Pradesh Section Conference, UPCON-ICEEE 2015",1,0.58572
"Proceedings - 17th IEEE International Conference on Computational Science and Engineering, CSE 2014, Jointly with 13th IEEE International Conference on Ubiquitous Computing and Communications, IUCC 2014, 13th International Symposium on Pervasive Systems, Algorithms, and Networks, I-SPAN 2014 and 8th International Conference on Frontier of Computer Science and Technology, FCST 2014",6,0.76116
"2015 IEEE PES Innovative Smart Grid Technologies Latin America, ISGT LATAM 2015",4,0.69098
"Proceedings of the 5th Electronics System-Integration Technology Conference, ESTC 2014",6,0.76116
ICEP-IAAC 2015 - 2015 International Conference on Electronic Packaging and iMAPS All Asia Conference,5,0.72607
CSEDU 2016 - Proceedings of the 8th International Conference on Computer Supported Education,3,0.6559
"Proceedings of the 25th Biennial Lester Eastman Conference on High Performance Devices, LEC 2016",1,0.58572
IEEE Conference Record of Annual Pulp and Paper Industry Technical Conference,12,0.97167
Digest of Technical Papers-IEEE International Pulsed Power Conference,22,1.32253
"Proceedings - 2015 IEEE 10th International Conference on Global Software Engineering, ICGSE 2015",5,0.72607
"Proceeding - 2014 Makassar International Conference on Electrical Engineering and Informatics, MICEEI 2014",2,0.62081
"25th International Conference on Electronics, Communications and Computers, CONIELECOMP 2015",2,0.62081
"2015 Workshop on Research, Education and Development of Unmanned Aerial Systems, RED-UAS 2015",3,0.6559
SCALA 2016 - Proceedings of the 2016 7th ACM SIGPLAN Symposium on Scala,2,0.62081
"Proceedings of the 14th International Symposium on Integrated Circuits, ISIC 2014",5,0.72607
"International Symposium on VLSI Technology, Systems, and Applications, Proceedings",17,1.1471
"IEEE Transportation Electrification Conference and Expo, ITEC Asia-Pacific 2014 - Conference Proceedings",7,0.79624
"Proceedings of WORKS 2015: 10th Workshop on Workflows in Support of Large-Scale Science - Held in conjunction with SC 2015: The International Conference for High Performance Computing, Networking, Storage and Analysis",2,0.62081
"2015 IEEE MTT-S International Conference on Microwaves for Intelligent Mobility, ICMIM 2015",5,0.72607
"2014 IEEE International Conference on Mechatronics and Automation, IEEE ICMA 2014",8,0.83133
"Proceedings - 2014 2nd International Symposium on Computing and Networking, CANDAR 2014",3,0.6559
"25th International Telecommunication Networks and Applications Conference, ITNAC 2015",3,0.6559
"International Symposium on Wearable Computers, Digest of Papers",4,0.69098
"26th International Symposium on Space Terahertz Technology, ISSTT 2015",3,0.6559
"2014 2nd International Conference on Electronic Design, ICED 2014",4,0.69098
"Technical Digest - 2014 27th International Vacuum Nanoelectronics Conference, IVNC 2014",4,0.69098
International Conference on Optical MEMS and Nanophotonics,7,0.79624
"MESA 2014 - 10th IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications, Conference Proceedings",8,0.83133
"SIGGRAPH Asia 2015 Emerging Technologies, SA 2015",4,0.69098
"2015 International Conference on Electronic Design, Computer Networks and Automated Verification, EDCAV 2015",4,0.69098
"2014 IEEE 15th International Conference on High Performance Switching and Routing, HPSR 2014",6,0.76116
"2014 IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA 2014",3,0.6559
ICICDT 2014 - IEEE International Conference on Integrated Circuit Design and Technology,5,0.72607
"2015 IEEE International Conference on Consumer Electronics, ICCE 2015",7,0.79624
"2014 IEEE 3rd Global Conference on Consumer Electronics, GCCE 2014",5,0.72607
"Proceedings of the 10th International Conference on Intelligent Systems and Control, ISCO 2016",4,0.69098
"5th International Conference on Innovative Computing Technology, INTECH 2015",4,0.69098
"HotWireless 2015 - Proceedings of the 2nd International Workshop on Hot Topics in Wireless, co-located with MobiCom 2015",4,0.69098
CS MANTECH 2015 - 2015 International Conference on Compound Semiconductor Manufacturing Technology,3,0.6559
"14th IEEE International Conference on Peer-to-Peer Computing, IEEE P2P 2014 - Proceedings",4,0.69098
"2015 International Conference on ReConFigurable Computing and FPGAs, ReConFig 2015",5,0.72607
"2014 International Conference on Numerical Electromagnetic Modeling and Optimization for RF, Microwave, and Terahertz Applications, NEMO 2014",4,0.69098
Digest of Technical Papers - IEEE International Conference on Consumer Electronics,24,1.39271
"2015 22nd Iranian Conference on Biomedical Engineering, ICBME 2015",3,0.6559
"2014 21st IEEE International Conference on Electronics, Circuits and Systems, ICECS 2014",5,0.72607
"Proceedings - 2016 IEEE Region 10 Symposium, TENSYMP 2016",4,0.69098
Dam Protections against Overtopping and Accidental Leakage - Proceedings of the 1st International Seminar on Dam Protections Against Overtopping and Accidental Leakage,2,0.62081
"9th EAI International Conference on Performance Evaluation Methodologies and Tools, ValueTools 2015",3,0.6559
"2014 IEEE Photonics Conference, IPC 2014",6,0.76116
"2014 IEEE International Electric Vehicle Conference, IEVC 2014",1,0.58572
Proceedings - IEEE International Conference on Ultra-Wideband,11,0.93659
"Proceedings of the 2015 IEEE 20th International Mixed-Signals Test Workshop, IMSTW 2015",3,0.6559
"Proceedings - 2016 International Conference on Cyberworlds, CW 2016",2,0.62081
"2015 IEEE 9th International Workshop on Multidimensional (nD) Systems, nDS 2015",3,0.6559
"Conference Proceedings - 2014 IEEE MTT-S International Microwave Workshop Series on: RF and Wireless Technologies for Biomedical and Healthcare Applications, IMWS-Bio 2014",5,0.72607
"2015 10th Asian Control Conference: Emerging Control Techniques for a Sustainable World, ASCC 2015",5,0.72607
"2016 IEEE 14th International Workshop on Advanced Motion Control, AMC 2016",3,0.6559
"2015 IEEE 2nd International Conference on Recent Trends in Information Systems, ReTIS 2015 - Proceedings",5,0.72607
"ECOS 2015 - 28th International Conference on Efficiency, Cost, Optimization, Simulation and Environmental Impact of Energy Systems",3,0.6559
"IEEE CPMT Symposium Japan 2014 - The Leading International Components, Packaging, and Manufacturing Technology Symposium: Packaging for Future Optoelectronics, RF/High-Speed Electronics and Bioelectronics, ICSJ 2014",4,0.69098
"2016 12th Conference on Ph.D. Research in Microelectronics and Electronics, PRIME 2016",3,0.6559
Proceedings of the Mediterranean Electrotechnical Conference - MELECON,22,1.32253
"2014 22nd Telecommunications Forum, TELFOR 2014 - Proceedings of Papers",1,0.58572
"2015 IEEE 15th International Conference on Bioinformatics and Bioengineering, BIBE 2015",3,0.6559
"International Workshop on Advanced Motion Control, AMC",30,1.60322
"2016 24th International Conference on Software, Telecommunications and Computer Networks, SoftCOM 2016",4,0.69098
Proceedings of the European Test Workshop,12,0.97167
FORMS/FORMAT 2014 - 10th Symposium on Formal Methods for Automation and Safety in Railway and Automotive Systems,2,0.62081
"2014 OptoElectronics and Communication Conference, OECC 2014 and Australian Conference on Optical Fibre Technology, ACOFT 2014",7,0.79624
"MEDES 2014 - 6th International Conference on Management of Emergent Digital EcoSystems, Proceedings",3,0.6559
CS MANTECH 2014 - 2014 International Conference on Compound Semiconductor Manufacturing Technology,5,0.72607
AIAA Spacecraft Structures Conference,3,0.6559
"2016 IEEE 6th International Conference on Power Systems, ICPS 2016",5,0.72607
RIIT 2015 - Proceedings of the 4th Annual ACM Conference on Research in Information Technology,3,0.6559
Proceedings of the ASME Turbo Expo,3,0.6559
"Proceedings - 2014 IEEE Conference on System, Process and Control, ICSPC 2014",2,0.62081
OCEANS 2015 - MTS/IEEE Washington,6,0.76116
"MIST 2015 - Proceedings of the 7th ACM CCS International Workshop on Managing Insider Security Threats, co-located with CCS 2015",3,0.6559
"2014 Oceans - St. John's, OCEANS 2014",6,0.76116
ACM International Conference Proceeding Series,3,0.6559
"BIOIMAGING 2016 - 3rd International Conference on Bioimaging, Proceedings; Part of 9th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2016",2,0.62081
"2014 IEEE Asia-Pacific Conference on Applied Electromagnetics, APACE 2014 - Proceeding",4,0.69098
IEEE International Symposium on Semiconductor Manufacturing Conference Proceedings,18,1.18219
"5th International Conference on Future Generation Communication Technologies, FGCT 2016",2,0.62081
"CLEO: Science and Innovations, CLEO-SI 2015",5,0.72607
IECON Proceedings (Industrial Electronics Conference),5,0.72607
SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference Proceedings,15,1.07693
"International Image Processing, Applications and Systems Conference, IPAS 2014",2,0.62081
"16th AIAA Aviation Technology, Integration, and Operations Conference",6,0.76116
"2016 Selected Issues of Electrical Engineering and Electronics, WZEE 2016",2,0.62081
47th AIAA Plasmadynamics and Lasers Conference,2,0.62081
