Title,H index,Impact Factor
IEEE Power and Energy Society General Meeting,36,1.81374
BuildSys 2014 - Proceedings of the 1st ACM Conference on Embedded Systems for Energy-Efficient Buildings,10,0.9015
Conference Record - International Conference on Communications,105,4.23469
"2015 IEEE Electrical Power and Energy Conference: Smarter Resilient Power Systems, EPEC 2015",4,0.69098
"2014 11th International Symposium on Wireless Communications Systems, ISWCS 2014 - Proceedings",12,0.97167
"SOAP 2015 - Proceedings of the 4th ACM SIGPLAN International Workshop on State of the Art in Program Analysis, co-located with PLDI 2015",3,0.6559
"SSRR 2015 - 2015 IEEE International Symposium on Safety, Security, and Rescue Robotics",3,0.6559
IEEE International Conference on Rehabilitation Robotics,23,1.35762
"Proceedings - 1st International Workshop on Big Data Software Engineering, BIGDSE 2015",4,0.69098
"Proceedings - 3rd International Workshop on Software Engineering for Systems-of-Systems, SESoS 2015",2,0.62081
"2014 14th International Workshop on Acoustic Signal Enhancement, IWAENC 2014",10,0.9015
"2015 International Symposium on Software Testing and Analysis, ISSTA 2015 - Proceedings",11,0.93659
"2015 IEEE 7th International Workshop on Managing Technical Debt, MTD 2015 - Proceedings",4,0.69098
"Proceedings of the 11th European Conference on Computer Systems, EuroSys 2016",8,0.83133
"2014 International Power Electronics Conference, IPEC-Hiroshima - ECCE Asia 2014",16,1.11202
"2014 11th Annual IEEE International Conference on Sensing, Communication, and Networking, SECON 2014",9,0.86641
Proceedings of the IEEE Bipolar/BiCMOS Circuits and Technology Meeting,29,1.56814
"Proceedings of WORKS 2014: The 9th Workshop on Workflows in Support of Large-Scale Science - held in conjunction with SC 2014: The International Conference for High Performance Computing, Networking, Storage and Analysis",4,0.69098
"2015 IEEE Asian Solid-State Circuits Conference, A-SSCC 2015 - Proceedings",5,0.72607
"Proceedings of the 6th International Workshop in Performance Modeling, Benchmarking and Simulation of High Performance Computer Systems, PMBS 2015 - Held as part of ACM/IEEE Supercomputing 2015, SC 2015",3,0.6559
"2015 IEEE Optical Interconnects Conference, OI 2015",5,0.72607
"2014 IEEE 15th Workshop on Control and Modeling for Power Electronics, COMPEL 2014",10,0.9015
IH and MMSec 2016 - Proceedings of the 2016 ACM Information Hiding and Multimedia Security Workshop,3,0.6559
"2016 IEEE 17th Workshop on Control and Modeling for Power Electronics, COMPEL 2016",6,0.76116
"2015 53rd Annual Allerton Conference on Communication, Control, and Computing, Allerton 2015",7,0.79624
"20th Asia and South Pacific Design Automation Conference, ASP-DAC 2015",10,0.9015
CODASPY 2016 - Proceedings of the 6th ACM Conference on Data and Application Security and Privacy,6,0.76116
SiRF 2014 - 2014 IEEE 14th Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems,5,0.72607
"2015 Workshop on Modeling and Simulation of Cyber-Physical Energy Systems, MSCPES 2015 - Held as Part of CPS Week, Proceedings",4,0.69098
"2016 Mediterranean Ad Hoc Networking Workshop, Med-Hoc-Net 2016 - 15th IFIP MEDHOCNET 2016",3,0.6559
"Proceedings of the 2016 IEEE International Symposium on Hardware Oriented Security and Trust, HOST 2016",5,0.72607
PEMWA 2014 - 2014 IEEE Symposium on Power Electronics and Machines for Wind and Water Applications,3,0.6559
"International Topical Meeting on Nuclear Reactor Thermal Hydraulics 2015, NURETH 2015",4,0.69098
"Proceedings of the 1st ACM Workshop on Middleware for Context-Aware Applications in the IoT, M4IOT 2014 - In conjunction with ACM/IFIP/USENIX ACM International Middleware Conference",3,0.6559
"2014 IEEE International Conference on Image Processing, ICIP 2014",12,0.97167
IoV-VoI 2016 - Proceedings of the 1st MobiHoc International Workshop on Internet of Vehicles and Vehicles of Internet,3,0.6559
IEEE International Symposium on Electromagnetic Compatibility,29,1.56814
Proceedings of the IEEE International Conference on Micro Electro Mechanical Systems (MEMS),36,1.81374
"AsiaPKC 2016 - Proceedings of the 3rd ACM International Workshop on ASIA Public-Key Cryptography, Co-located with Asia CCS 2016",3,0.6559
"Proceedings of the 2015 IEEE/ACM International Symposium on Nanoscale Architectures, NANOARCH 2015",7,0.79624
"Technical Digest - IEEE Compound Semiconductor Integrated Circuit Symposium, CSIC",26,1.46288
"12th IEEE International Symposium on Safety, Security and Rescue Robotics, SSRR 2014 - Symposium Proceedings",4,0.69098
Proceedings of the IEEE Sensor Array and Multichannel Signal Processing Workshop,19,1.21728
HT 2015 - Proceedings of the 26th ACM Conference on Hypertext and Social Media,6,0.76116
Proceedings . IEEE 18th international Enterprise Distributed object computing conference,6,0.76116
"Device Research Conference - Conference Digest, DRC",18,1.18219
IEEE International Symposium on Intelligent Control - Proceedings,29,1.56814
"IEEE NETSOFT 2016 - 2016 IEEE NetSoft Conference and Workshops: Software-Defined Infrastructure for Networks, Clouds, IoT and Services",5,0.72607
ICER 2016 - Proceedings of the 2016 ACM Conference on International Computing Education Research,4,0.69098
"2015 IEEE 23rd International Requirements Engineering Conference, RE 2015 - Proceedings",8,0.83133
"2015 IEEE 23rd International Symposium on Quality of Service, IWQoS 2015",4,0.69098
UbiComp 2016 - Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing,10,0.9015
"2015 IEEE 6th International Symposium on Power Electronics for Distributed Generation Systems, PEDG 2015",6,0.76116
"Conference of Open Innovation Association, FRUCT",9,0.86641
"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications, PIMRC",61,2.6909
Proceedings of the IEEE VLSI Test Symposium,53,2.41021
"2014 16th European Conference on Power Electronics and Applications, EPE-ECCE Europe 2014",11,0.93659
WWW 2015 Companion - Proceedings of the 24th International Conference on World Wide Web,12,0.97167
"Proceedings - 2015 International Conference on Future Internet of Things and Cloud, FiCloud 2015 and 2015 International Conference on Open and Big Data, OBD 2015",10,0.9015
"2014 IEEE Wireless Communications and Networking Conference Workshops, WCNCW 2014",8,0.83133
"Proceedings of the 2015 IEEE 19th International Enterprise Distributed Object Computing Conference Workshops and Demonstrations, EDOCW 2015",4,0.69098
Electrical Overstress/Electrostatic Discharge Symposium Proceedings,26,1.46288
"2014 IEEE International Electric Vehicle Conference, IEVC 2014",7,0.79624
"DTMBIO 2015 - Proceedings of the ACM 9th International Workshop on Data and Text Mining in Biomedical Informatics, co-located with CIKM 2015",2,0.62081
"Proceedings - European Workshop on Software Defined Networks, EWSDN",5,0.72607
"Proceedings of the Asia and South Pacific Design Automation Conference, ASP-DAC",52,2.37512
"Proceedings of the 8th ACM/IEEE International Conference on Distributed Smart Cameras, ICDSC 2014",5,0.72607
"7th IET International Conference on Power Electronics, Machines and Drives, PEMD 2014",10,0.9015
European Solid-State Device Research Conference,21,1.28745
"2016 13th International Workshop on Discrete Event Systems, WODES 2016",2,0.62081
"2015 IEEE 24th Conference on Electrical Performance of Electronic Packaging and Systems, EPEPS 2015",4,0.69098
BuildSys 2015 - Proceedings of the 2nd ACM International Conference on Embedded Systems for Energy-Efficient Built,7,0.79624
"Proceedings - 2014 8th IEEE/ACM International Symposium on Networks-on-Chip, NoCS 2014",6,0.76116
"Proceedings of the International FRUCT Conference on Intelligence, Social Media and Web, ISMW FRUCT 2016",1,0.58572
"IEEE Workshop on Signal Processing Systems, SiPS: Design and Implementation",27,1.49797
"2014 IEEE Green Energy and Systems Conference, IGESC 2014",3,0.6559
"2014 IEEE Transportation Electrification Conference and Expo: Components, Systems, and Power Electronics - From Technology to Business and Public Policy, ITEC 2014",9,0.86641
"Proceedings - 2014 IEEE 22nd Annual Symposium on High-Performance Interconnects, HOTI 2014",5,0.72607
"IEEE Vehicular Networking Conference, VNC",18,1.18219
ANCS 2016 - Proceedings of the 2016 Symposium on Architectures for Networking and Communications Systems,3,0.6559
21st AIAA Lighter-Than-Air Systems Technology Conference,2,0.62081
"2016 IEEE Global Communications Conference, GLOBECOM 2016 - Proceedings",7,0.79624
"2014 IEEE 5th International Symposium on Power Electronics for Distributed Generation Systems, PEDG 2014",8,0.83133
"Proceedings of the 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2015",9,0.86641
Annual IEEE Semiconductor Thermal Measurement and Management Symposium,32,1.6734
"2014 IEEE International Symposium on Intelligent Control, ISIC 2014",5,0.72607
"2014, 8th International Conference on Signal Processing and Communication Systems, ICSPCS 2014 - Proceedings",4,0.69098
"Proceedings - 46th Annual IEEE/IFIP International Conference on Dependable Systems and Networks, DSN 2016",6,0.76116
"54th Annual Meeting of the Association for Computational Linguistics, ACL 2016 - Long Papers",14,1.04184
"Proceedings of the 2014 4th International Conference on Wireless Mobile Communication and Healthcare - Transforming Healthcare Through Innovations in Mobile and Wireless Technologies, MOBIHEALTH 2014",9,0.86641
"Electrical Systems for Aircraft, Railway and Ship Propulsion, ESARS",12,0.97167
"2014 IEEE Conference on Antenna Measurements and Applications, CAMA 2014",4,0.69098
"International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM",7,0.79624
"Proceedings - 2015 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2015",6,0.76116
Proceedings - IEEE International Symposium on Circuits and Systems,62,2.72598
"Proceedings of 1st International Conference on Event-Based Control, Communication and Signal Processing, EBCCSP 2015",5,0.72607
MobiWac 2015 - Proceedings of the 13th ACM International Symposium on Mobility Management and Wireless Access,2,0.62081
"Proceedings - International Symposium on Quality Electronic Design, ISQED",28,1.53305
Proceedings of SPIE - The International Society for Optical Engineering,139,5.42762
EUCNC 2016 - European Conference on Networks and Communications,5,0.72607
"International Conference on Simulation of Semiconductor Processes and Devices, SISPAD",21,1.28745
"Record - IEEE PLANS, Position Location and Navigation Symposium",38,1.88391
"Proceedings - 2015 9th International Conference on Compatibility and Power Electronics, CPE 2015",6,0.76116
"Proceedings of the 10th International Conference on Web and Social Media, ICWSM 2016",7,0.79624
"2015 Transducers - 2015 18th International Conference on Solid-State Sensors, Actuators and Microsystems, TRANSDUCERS 2015",7,0.79624
"2014 IEEE Global Conference on Signal and Information Processing, GlobalSIP 2014",6,0.76116
"2016 AIAA Guidance, Navigation, and Control Conference",6,0.76116
"International Topical Meeting on Nuclear Reactor Thermal Hydraulics 2015, NURETH 2015",4,0.69098
"2014 IEEE 40th Photovoltaic Specialist Conference, PVSC 2014",13,1.00676
