Combination no,Combination,Mean Absolute Error
197,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",0.5470911435027409
299,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5470936070737982
340,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.54796098751054
174,"'SJR', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5492320324803397
421,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.550529235044449
48,"'SJR', 'H Index', 'Total Refs'",0.5530168248951445
10,"'SJR', 'H Index'",0.5540977116591628
338,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.5542325149081611
213,"'H Index', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.5586545998235426
190,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Ref/Doc'",0.5600721865998115
180,"'SJR', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.5619275011959064
315,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.5635487649231214
162,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",0.5639827798654667
199,"'H Index', 'Total Docs(2017)', 'Citable Docs(3years)', 'Ref/Doc'",0.5652667153441897
442,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.5657502927894257
350,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.5676945045385098
209,"'H Index', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5693598547055034
49,"'SJR', 'H Index', 'Total Cites(3years)'",0.5701753348721227
46,"'SJR', 'H Index', 'Total Docs(2017)'",0.5750138962814457
191,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)'",0.5775942129969478
130,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)'",0.5779415307786766
17,"'SJR', 'Ref/Doc'",0.583615126561216
334,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.5859221631661282
133,"'SJR', 'H Index', 'Total Docs(2017)', 'Citable Docs(3years)'",0.5875761540372946
47,"'SJR', 'H Index', 'Total Docs(3years)'",0.5882226483698698
136,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs'",0.5929948541442202
50,"'SJR', 'H Index', 'Citable Docs(3years)'",0.5941930567628645
141,"'SJR', 'H Index', 'Total Refs', 'Total Cites(3years)'",0.5995097029238163
256,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",0.6043026352352248
142,"'SJR', 'H Index', 'Total Refs', 'Citable Docs(3years)'",0.6049464024370547
419,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.6058509703470877
262,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)'",0.6105709792340932
131,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs'",0.6178193207696686
21,"'H Index', 'Total Cites(3years)'",0.6196679510286329
258,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)'",0.6206992648034241
428,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6238322760854291
138,"'SJR', 'H Index', 'Total Docs(3years)', 'Citable Docs(3years)'",0.6287049454035588
187,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",0.6321846802777086
76,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)'",0.6367379154030004
81,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)'",0.6373087554132238
326,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.6380317734306685
272,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.6419919709382652
313,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.6428231216335185
488,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6448347357000731
75,"'H Index', 'Total Docs(2017)', 'Total Refs'",0.6454478136466366
20,"'H Index', 'Total Refs'",0.6469463080194053
172,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.6505893525930516
80,"'H Index', 'Total Docs(3years)', 'Total Refs'",0.654021213639758
297,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.6540638862207984
383,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)'",0.6564606234115566
261,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)'",0.6591234677662501
348,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.661806960537889
2,'H Index',0.6633491714305242
132,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Cites(3years)'",0.6689580860084291
322,"'SJR', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.672562246992137
433,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6734448243363568
183,"'SJR', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6761159840609519
207,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.6793365019637971
318,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6794385581186038
308,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6814831284979098
357,"'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6828549481762437
424,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6848148513151916
332,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Ref/Doc'",0.6884141350489814
218,"'H Index', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.6954617800154969
343,"'H Index', 'Total Docs(2017)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7064350168251043
440,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.7082258338499261
454,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7155563033235574
42,"'Total Cites(3years)', 'Ref/Doc'",0.7181714411329083
382,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.7192809097331094
271,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)'",0.7201386040105195
449,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7230500312059193
353,"'H Index', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7241117925095303
18,"'H Index', 'Total Docs(2017)'",0.7283259337145025
445,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.7321681393596216
74,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)'",0.7365365922619594
257,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Cites(3years)'",0.7389095425112113
281,"'SJR', 'H Index', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)'",0.7417508638890921
