Combination no,Combination,Mean Absolute Error,Mean Squared error,Root Mean Squared Error
1,'SJR',0.9837386087391373,1.0053693081468864,1.0026810600319955
2,'H Index',0.6633491714305242,0.5096877664801445,0.7139242021952642
3,'Total Docs(2017)',1.8242048682088816,3.394123267521803,1.8423146494347276
4,'Total Docs(3years)',1.8912964381109538,3.6559479005471234,1.9120533205293004
5,'Total Refs',3.2195200562222817,10.529213857366162,3.244875014136317
6,'Total Cites(3years)',3.8048299133926022,14.532528467902578,3.8121553572621587
7,'Citable Docs(3years)',1.914112857769393,3.7365445409763547,1.9330143664692083
9,'Ref/Doc',1.1401426550546907,1.843635441141014,1.3578053767536105
10,"'SJR', 'H Index'",0.5540977116591628,0.34064462214892466,0.5836476866645877
11,"'SJR', 'Total Docs(2017)'",0.8897940581085438,0.8320367361202763,0.9121604771750836
12,"'SJR', 'Total Docs(3years)'",0.9301911233799451,0.9069751507234834,0.9523524298932006
13,"'SJR', 'Total Refs'",0.8690329379375353,0.7930500607976458,0.8905335820718081
14,"'SJR', 'Total Cites(3years)'",0.8685908403765374,0.7922195651812796,0.8900671689155149
15,"'SJR', 'Citable Docs(3years)'",0.9404773048955588,0.9249407864001014,0.9617384189061501
17,"'SJR', 'Ref/Doc'",0.583615126561216,0.46534908259922403,0.6821649966094889
18,"'H Index', 'Total Docs(2017)'",0.7283259337145025,0.6050132687204517,0.77782598871499
19,"'H Index', 'Total Docs(3years)'",0.7418514610346452,0.6368590514128357,0.7980344926209867
20,"'H Index', 'Total Refs'",0.6469463080194053,0.4836210129678153,0.6954286541175991
21,"'H Index', 'Total Cites(3years)'",0.6196679510286329,0.4646391972666385,0.6816444801116184
22,"'H Index', 'Citable Docs(3years)'",0.7510167579139747,0.6547685795130104,0.8091777181268713
24,"'H Index', 'Ref/Doc'",0.5244713691405614,0.40242715865317485,0.6343714674015335
25,"'Total Docs(2017)', 'Total Docs(3years)'",1.8373824038957598,3.4508084713059897,1.8576351825118917
26,"'Total Docs(2017)', 'Total Refs'",2.6360508351889487,7.03599020233759,2.652544099979789
27,"'Total Docs(2017)', 'Total Cites(3years)'",1.898984300483724,3.794376667723286,1.947915980663254
28,"'Total Docs(2017)', 'Citable Docs(3years)'",1.8463447884903748,3.5024916449120598,1.8714944950258496
30,"'Total Docs(2017)', 'Ref/Doc'",0.9223115060165145,1.325818858174383,1.1514420776462806
31,"'Total Docs(3years)', 'Total Refs'",3.214830081530041,10.498762899570456,3.2401794548404963
32,"'Total Docs(3years)', 'Total Cites(3years)'",1.9562893741940004,4.119572541096961,2.0296730133440115
33,"'Total Docs(3years)', 'Citable Docs(3years)'",1.8992993713260973,3.9835749055832617,1.9958895023480787
35,"'Total Docs(3years)', 'Ref/Doc'",0.9473194062270183,1.388825790401394,1.178484531252487
36,"'Total Refs', 'Total Cites(3years)'",2.9013511450360117,9.125719336338486,3.0208805564501366
37,"'Total Refs', 'Citable Docs(3years)'",1.8519930463740202,3.5000746422344653,1.8708486422568944
39,"'Total Refs', 'Ref/Doc'",0.9793383326553213,1.4207988238623386,1.1919726607025594
40,"'Total Cites(3years)', 'Citable Docs(3years)'",1.801934978231616,3.438292254850522,1.8542632647093351
42,"'Total Cites(3years)', 'Ref/Doc'",0.7181714411329083,0.8259615289415996,0.9088242563563098
44,"'Citable Docs(3years)', 'Ref/Doc'",0.9664718032438463,1.4365371780117866,1.1985562890460284
46,"'SJR', 'H Index', 'Total Docs(2017)'",0.5750138962814457,0.36644291044955535,0.6053452820081737
47,"'SJR', 'H Index', 'Total Docs(3years)'",0.5882226483698698,0.38264651340110056,0.6185842815664657
48,"'SJR', 'H Index', 'Total Refs'",0.5530168248951445,0.33929122731276956,0.5824871048467679
49,"'SJR', 'H Index', 'Total Cites(3years)'",0.5701753348721227,0.3582849110006879,0.5985690528257269
50,"'SJR', 'H Index', 'Citable Docs(3years)'",0.5941930567628645,0.39049550223797785,0.6248963932028876
52,"'SJR', 'H Index', 'Ref/Doc'",0.3316625319736495,0.17591403235434627,0.4194210680859347
53,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)'",0.9032175907260257,0.8615124661787069,0.9281769584398801
54,"'SJR', 'Total Docs(2017)', 'Total Refs'",0.9282368868881685,0.9010681189020598,0.949246079213425
55,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)'",0.9607270202975859,0.9676630346399343,0.9836986503192603
56,"'SJR', 'Total Docs(2017)', 'Citable Docs(3years)'",0.9094356807777885,0.8806196542012996,0.9384133706428631
58,"'SJR', 'Total Docs(2017)', 'Ref/Doc'",0.5056853780199897,0.3721291819295909,0.6100239191454634
59,"'SJR', 'Total Docs(3years)', 'Total Refs'",0.9191487002294814,0.8849735391564505,0.9407303222265404
60,"'SJR', 'Total Docs(3years)', 'Total Cites(3years)'",1.0515333785109178,1.157789668060383,1.0760063513104292
61,"'SJR', 'Total Docs(3years)', 'Citable Docs(3years)'",0.9601997115434423,1.0558634702995378,1.0275521740036064
63,"'SJR', 'Total Docs(3years)', 'Ref/Doc'",0.5288786942203351,0.39968052537762055,0.6322029147177515
64,"'SJR', 'Total Refs', 'Total Cites(3years)'",0.9047811767526486,0.8577275173371618,0.9261357985399127
65,"'SJR', 'Total Refs', 'Citable Docs(3years)'",0.9302215813749672,0.9095346328013613,0.9536952515355004
