Combination no,Combination,Mean Squared error,Root Mean Squared Error
136,"'SJR', 'H Index', 'Total Docs(3years)', 'Total Refs'",0.39837389684763136,0.6311686754328286
63,"'SJR', 'Total Docs(3years)', 'Ref/Doc'",0.39968052537762055,0.6322029147177515
305,"'SJR', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.40054938414907737,0.632889709308879
24,"'H Index', 'Ref/Doc'",0.40242715865317485,0.6343714674015335
164,"'SJR', 'Total Docs(2017)', 'Citable Docs(3years)', 'Ref/Doc'",0.4043713592970926,0.6359020044763914
79,"'H Index', 'Total Docs(2017)', 'Ref/Doc'",0.406218792361544,0.6373529574431611
191,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)'",0.4076924611170264,0.638507996126146
503,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Total Cites(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.4094665214716454,0.6398957114027609
256,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs'",0.40980706600406136,0.6401617498758118
169,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.4099025487215408,0.6402363225571795
72,"'SJR', 'Citable Docs(3years)', 'Ref/Doc'",0.4118022294918515,0.6417181854146348
142,"'SJR', 'H Index', 'Total Refs', 'Citable Docs(3years)'",0.4158522875208408,0.6448661004587237
178,"'SJR', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.4172079589562693,0.645916371488035
84,"'H Index', 'Total Docs(3years)', 'Ref/Doc'",0.41959618503387985,0.6477624449085327
262,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)'",0.42126915216846356,0.649052503398965
93,"'H Index', 'Citable Docs(3years)', 'Ref/Doc'",0.4217708369583766,0.6494388631413865
131,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs'",0.4226734314631813,0.650133395129939
88,"'H Index', 'Total Refs', 'Ref/Doc'",0.42281709902936554,0.6502438765796765
204,"'H Index', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.4266415698641511,0.6531780537220698
180,"'SJR', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.42779471809981523,0.6540601792647335
329,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Ref/Doc'",0.43503037454277543,0.6595683243931408
215,"'H Index', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.43612175807005943,0.6603951529728693
162,"'SJR', 'Total Docs(2017)', 'Total Cites(3years)', 'Ref/Doc'",0.44178378465319146,0.6646681763505693
85,"'H Index', 'Total Refs', 'Total Cites(3years)'",0.45416357750960734,0.6739165953659305
299,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.45478048091216927,0.6743741401567599
340,"'H Index', 'Total Docs(2017)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.45896926747268524,0.6774727060721231
421,"'SJR', 'Total Docs(2017)', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.4599832544395393,0.6782206532092188
190,"'H Index', 'Total Docs(2017)', 'Total Docs(3years)', 'Ref/Doc'",0.4600159707849941,0.6782447720292388
21,"'H Index', 'Total Cites(3years)'",0.4646391972666385,0.6816444801116184
17,"'SJR', 'Ref/Doc'",0.46534908259922403,0.6821649966094889
174,"'SJR', 'Total Docs(3years)', 'Citable Docs(3years)', 'Ref/Doc'",0.4664777298959815,0.6829917495079875
261,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Refs', 'Total Cites(3years)'",0.4762586687814373,0.6901149677998857
315,"'SJR', 'Total Docs(3years)', 'Total Refs', 'Citable Docs(3years)', 'Ref/Doc'",0.47773352108924505,0.6911826973306299
75,"'H Index', 'Total Docs(2017)', 'Total Refs'",0.4811074516292069,0.6936190969323198
132,"'SJR', 'H Index', 'Total Docs(2017)', 'Total Cites(3years)'",0.4827999277117294,0.6948380586235395
199,"'H Index', 'Total Docs(2017)', 'Citable Docs(3years)', 'Ref/Doc'",0.4828186820908281,0.6948515539961237
20,"'H Index', 'Total Refs'",0.4836210129678153,0.6954286541175991
213,"'H Index', 'Total Refs', 'Total Cites(3years)', 'Ref/Doc'",0.4836943357357579,0.6954813697977523
80,"'H Index', 'Total Docs(3years)', 'Total Refs'",0.48948514042031144,0.6996321465029401
