Title,SJR,H index,Total Docs. (2017),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Impact Factor
International Journal on Communications Antenna and Propagation,0.38,13,71,148,1893,228,144.0,1.55,26.66,1.58333
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",0.379,34,74,370,1772,444,349.0,1.39,23.95,1.27221
Infrared and Laser Engineering,0.379,25,491,2088,7202,1388,2088.0,0.68,14.67,0.66475
Electric Power Components and Systems,0.373,39,193,566,5686,903,554.0,1.49,29.46,1.62996
International Journal of Robotics and Automation,0.367,23,72,154,1917,189,153.0,1.07,26.63,1.23529
International Journal of Circuit Theory and Applications,0.366,44,149,351,3684,493,342.0,1.43,24.72,1.44152
Nanomaterials and Nanotechnology,0.366,13,28,121,1038,137,119.0,1.05,37.07,1.15126
International Journal of Ventilation,0.366,15,38,96,546,62,91.0,0.73,14.37,0.68132
Frontiers of Optoelectronics,0.365,11,48,169,1377,142,158.0,0.86,28.69,0.89873
"Radiophysics and Quantum Electronics (English Translation of Izvestiya Vysshikh Uchebnykh Zavedenii, Radiofizika)",0.362,14,317,275,3777,178,273.0,0.62,11.91,0.65201
IEEE Security and Privacy,0.36,62,97,283,854,412,244.0,1.51,8.8,1.68852
IEEE Transactions on Semiconductor Manufacturing,0.359,57,76,192,1601,270,181.0,1.59,21.07,1.49171
Opto-electronics Review,0.358,35,46,101,1525,149,98.0,1.14,33.15,1.52041
Diagnostyka,0.356,8,51,143,1058,140,143.0,0.87,20.75,0.97902
Journal of Modern Transportation,0.354,11,26,90,776,98,90.0,1.0,29.85,1.08889
Optical and Quantum Electronics,0.353,50,427,1076,12718,1280,1065.0,1.25,29.78,1.20188
"IET Science, Measurement and Technology",0.352,41,142,321,3762,544,316.0,1.65,26.49,1.72152
European Transactions on Telecommunications,0.347,38,0,47,0,93,46.0,0.0,0.0,2.02174
Optik,0.346,40,1407,4564,36622,6124,4534.0,1.39,26.03,1.35068
Microsystem Technologies,0.346,55,683,883,15319,1165,861.0,1.28,22.43,1.35308
Journal of Laser Micro Nanoengineering,0.344,16,54,188,1250,155,186.0,0.84,23.15,0.83333
Physical Communication,0.341,25,113,136,3173,295,127.0,1.84,28.08,2.32283
IET Image Processing,0.34,29,152,315,5022,589,312.0,1.89,33.04,1.88782
International Journal of Optomechatronics,0.338,15,1,63,36,66,62.0,0.82,36.0,1.06452
"Eurasip Journal on Audio, Speech, and Music Processing",0.337,20,26,93,1121,149,92.0,2.06,43.12,1.61957
Wireless Networks,0.336,79,392,576,6747,1113,547.0,1.82,17.21,2.03473
IEEE Aerospace and Electronic Systems Magazine,0.335,50,87,228,1923,287,171.0,1.61,22.1,1.67836
IET Optoelectronics,0.335,37,46,126,1164,186,121.0,1.79,25.3,1.53719
IEEE Instrumentation and Measurement Magazine,0.333,35,58,204,470,219,163.0,1.44,8.1,1.34356
IEEE Industry Applications Magazine,0.331,48,71,245,728,169,190.0,0.74,10.25,0.88947
"Modelling, Measurement and Control A",0.33,5,8,17,149,26,17.0,1.53,18.63,1.52941
Zhongguo Jiguang/Chinese Journal of Lasers,0.328,29,446,1662,10047,1159,1662.0,0.85,22.53,0.69735
Automation and Remote Control,0.328,28,177,557,3378,416,554.0,0.73,19.08,0.7509
International Journal of Dynamics and Control,0.327,9,101,144,3160,150,138.0,0.96,31.29,1.08696
International Journal of Communication Systems,0.326,37,333,608,10910,1136,605.0,1.64,32.76,1.87769
Magnetohydrodynamics,0.326,20,77,159,1060,103,155.0,0.71,13.77,0.66452
Electrical Engineering,0.323,28,263,104,3198,143,99.0,1.45,12.16,1.44444
Journal of Aerospace Information Systems,0.322,26,46,157,1734,202,147.0,1.44,37.7,1.37415
Communications - Scientific Letters of the University of Zilina,0.322,15,113,313,2045,367,306.0,1.22,18.1,1.19935
Eurasip Journal on Advances in Signal Processing,0.322,73,83,416,2860,693,404.0,1.64,34.46,1.71535
Kybernetika,0.321,31,64,182,1678,119,177.0,0.66,26.22,0.67232
Studies in Informatics and Control,0.32,14,48,136,1236,143,136.0,1.21,25.75,1.05147
China Communications,0.314,20,217,763,5747,1304,731.0,1.84,26.48,1.78386
ACM Journal on Emerging Technologies in Computing Systems,0.308,30,46,146,1746,273,138.0,2.22,37.96,1.97826
Sensor Review,0.307,29,58,151,1495,199,151.0,1.27,25.78,1.31788
International Journal of Applied Electromagnetics and Mechanics,0.304,24,206,740,4188,697,731.0,0.91,20.33,0.95349
International Journal of Mechanics,0.303,14,39,146,853,148,146.0,1.24,21.87,1.0137
Journal of Microwave Power and Electromagnetic Energy,0.3,27,24,72,565,42,60.0,0.43,23.54,0.7
"Computers, Materials and Continua",0.3,25,19,135,518,60,135.0,0.49,27.26,0.44444
"Jisuanji Jicheng Zhizao Xitong/Computer Integrated Manufacturing Systems, CIMS",0.297,28,290,1007,6387,648,1007.0,0.56,22.02,0.6435
Journal of Nanotechnology in Engineering and Medicine,0.297,14,0,77,0,91,72.0,1.16,0.0,1.26389
International Journal of Digital Multimedia Broadcasting,0.296,14,11,11,204,18,11.0,2.8,18.55,1.63636
International Journal of Electrical and Computer Engineering,0.296,11,372,652,7494,622,651.0,0.93,20.15,0.95545
Nano Communication Networks,0.294,25,31,60,1265,126,53.0,2.23,40.81,2.37736
Sustainable Computing: Informatics and Systems,0.294,14,52,83,1003,131,73.0,1.57,19.29,1.79452
Displays,0.293,49,48,139,1439,197,134.0,1.31,29.98,1.47015
Optical Switching and Networking,0.293,23,53,150,1574,245,143.0,1.33,29.7,1.71329
Gyroscopy and Navigation,0.292,13,38,126,814,102,124.0,0.62,21.42,0.82258
Guangdianzi Jiguang/Journal of Optoelectronics Laser,0.291,22,172,958,3457,583,958.0,0.74,20.1,0.60856
Transactions on Emerging Telecommunications Technologies,0.291,14,173,321,5531,565,298.0,1.45,31.97,1.89597
Kybernetes,0.29,30,104,297,5125,315,296.0,1.09,49.28,1.06419
Journal of Sensors and Sensor Systems,0.289,5,38,62,1097,64,62.0,1.03,28.87,1.03226
Control Engineering and Applied Informatics,0.289,11,48,142,1316,152,142.0,0.96,27.42,1.07042
"IET Circuits, Devices and Systems",0.288,44,85,185,2607,267,180.0,1.55,30.67,1.48333
Journal of Sensors,0.288,25,240,671,7131,916,648.0,1.45,29.71,1.41358
ACM Transactions on Design Automation of Electronic Systems,0.287,46,74,191,2939,269,189.0,1.45,39.72,1.42328
Journal of Power Electronics,0.284,24,159,477,4070,587,476.0,1.2,25.6,1.23319
Gaoya Dianqi/High Voltage Apparatus,0.283,22,360,1097,7383,554,1097.0,0.5,20.51,0.50501
Microelectronics Journal,0.28,57,184,564,4508,874,553.0,1.52,24.5,1.58047
"IETE Technical Review (Institution of Electronics and Telecommunication Engineers, India)",0.28,22,93,164,2600,223,148.0,1.23,27.96,1.50676
International Journal of RF Technologies: Research and Applications,0.278,12,8,25,361,34,24.0,1.7,45.13,1.41667
Journal of Semiconductors,0.277,18,212,908,5898,785,907.0,1.07,27.82,0.86549
International Journal of Satellite Communications and Networking,0.276,33,36,110,989,127,101.0,1.29,27.47,1.25743
Optical Memory and Neural Networks (Information Optics),0.276,12,32,104,701,79,103.0,0.74,21.91,0.76699
Journal of Computational Electronics,0.274,25,126,392,4690,527,382.0,1.4,37.22,1.37958
